variable,AOR,CI_low_exact,CI_high_exact,P_exact,CI_low_efron,CI_high_efron,P_efron,ci_width_exact,ci_width_efron,ci_width_ratio,sig_exact,sig_efron,flip,model
f.planHMO,1.0663417806157045,1.0447551290422956,1.0883744539536384,7.460877956436501e-10,0.961433906176708,1.1826967883923154,0.22411222494662825,0.043619324911342794,0.22126288221560741,5.072588415004793,TRUE,FALSE,TRUE,base
f.planPOS,1.0276744274647036,1.0046449989516886,1.0512317584489295,0.018237037013675253,0.9542843132789215,1.1067086759878675,0.4702079043773425,0.04658675949724089,0.152424362708946,3.2718387016803208,TRUE,FALSE,TRUE,base
f.planUnknown,1.1734136014823968,1.1502636103364339,1.1970295050376913,9.405581751192704e-56,1.0700460266758196,1.2867665930421084,6.764013612256482e-4,0.04676589470125747,0.21672056636628878,4.634158455658958,TRUE,TRUE,FALSE,base
f.regionNorthCentral,1.0576884913475912,1.0399190251214216,1.0757615907628222,8.691376223989292e-11,0.9687214707196595,1.1548262101572522,0.21089125434887152,0.03584256564140054,0.18610473943759265,5.19228286556109,TRUE,FALSE,TRUE,base
f.regionNortheast,0.7708333705983139,0.7557934587179662,0.7861725692041015,8.453692210983364e-148,0.7107886621676363,0.8359504264121506,3.1610403578744845e-10,0.030379110486135286,0.1251617642445143,4.119994372502672,TRUE,TRUE,FALSE,base
f.regionUnknown,0.4819945450120859,0.42570761351349057,0.5457237175159085,1.0561281733550473e-30,0.18615254609861354,1.2480019547964596,0.1326904387675743,0.12001610400241797,1.061849408697846,8.847557730056401,TRUE,FALSE,TRUE,base
f.regionWest,1.0315397414131497,1.011031030110734,1.0524644708463244,0.002439595129971906,0.9348601421301512,1.138217568769305,0.536273234995985,0.04143344073559052,0.2033574266391538,4.9080506718447285,TRUE,FALSE,TRUE,base
f.sexFemale,0.5834035321820276,0.5755460238774819,0.5913683132922126,0,0.5483679545091229,0.620677555214076,3.2652665310451534e-65,0.01582228941473074,0.07230960070495307,4.5701098500721375,TRUE,TRUE,FALSE,base
f.sexOther,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,base
f.vaccVaccinated,0.4650343195676969,0.4540652909608786,0.4762683311868097,0,0.41804053136253955,0.5173108877049178,4.605327994244559e-45,0.022203040225931114,0.0992703563423783,4.471025379057758,TRUE,TRUE,FALSE,base
